"col_ID","Target","LST","RH","EWW","NSW"
"A1",1.56710891542137,-1.3211230912261,0.856405351126375,1.24263024656008,-1.20645025123601
"A2",1.2355564875908,-1.3088258637985,0.966342278915093,0.887397925704687,-1.33526924869279
"A3",1.01452153570376,-1.14435044695436,0.233781788938339,2.18295109588317,-1.01322175505084
"A4",0.904004059760242,-0.77850793098329,0.0487917662169368,2.22474313363086,-0.111488772853388
"A5",0.572451631929678,0.179138654940995,-0.180595861957603,0.135141246246215,-0.777053593046745
"A6",-0.42220565156201,0.961549750021994,-0.0854581359865964,-0.554427376590717,0.0817397233317795
"A7",NA,0.873932004600343,-0.194337977931194,-0.0111308858707096,-0.412066433585872
"A8",-0.31168817561849,1.46573607455355,-0.143597857413323,-1.07682784843688,-0.132958605762852
"A9",-0.201170699674969,0.369745680068783,0.284521909456209,0.218725321741601,0.232028553698021
"A10",-0.201170699674969,0.288276548360934,0.575220516589841,-0.24098709348302,-0.0041396083060729
"A11",1.12503901164728,-0.277395913308618,0.745411337493532,0.135141246246215,-0.562355263952114
"A12",0.79348658381672,-1.02445247953527,1.03822411631541,1.7023426617847,0.0817397233317795
"A13",1.2355564875908,-0.979875030110226,0.829978205023317,1.76503071840624,-1.14204075250762
"A14",NA,-1.39029499550634,0.580505945810454,1.9739909071447,-1.01322175505084
"A15",0.904004059760242,-0.903017358687731,0.582620117498698,-0.178299036861481,-1.33526924869279
"A16",0.79348658381672,-0.431111256153607,-0.292646961434567,1.15904617106469,-0.88440275759406
"A17",0.572451631929678,0.512700948914624,0.193612526861691,0.385893472732372,0.167619054969632
"A18",-0.201170699674969,0.732513889182959,0.0857897707612167,0.323205416110833,0.0388000575128533
"A19",-0.42220565156201,0.608004461478518,0.0530201095934252,-0.449947282221485,0.876123540981915
"A20",-0.201170699674969,1.16599115600583,-0.42266852026161,-0.0529229236184025,0.189088887879095
"A21",0.130381728155594,0.92158376088229,0.554078799707397,-1.2230999805538,0.0388000575128533
"A22",0.240899204099115,0.592632927194015,0.579448859966331,0.072453189624676,0.146149222060169
"A23",NA,-0.0944746553230814,0.64815943983428,0.490373567101605,-0.433536266495335
"A24",1.45659143947785,-1.01676671239302,0.545622112954417,1.78592673728008,-0.970282089231913
"A25",1.67762639136489,-1.45639259292969,0.96951353644746,0.970982001200072,-0.927342423412986
"A26",NA,-1.2750084883726,1.08156463592442,1.36800635980315,-0.970282089231913
"A27",1.2355564875908,-1.23965395951826,0.231667617250094,2.12026303926163,-1.20645025123601
"A28",1.12503901164728,-0.587900905855502,-0.442753151299934,2.03667896376624,-1.09910108668869
"A29",0.572451631929678,0.0484806135227508,-0.364528798834884,1.49338247304623,0.597015713158894
"A30",-0.201170699674969,0.813983020890799,-0.115056539622021,0.135141246246215,0.446726882792652
"A31",-0.0906532237314479,0.970772670592685,-0.402583889223287,0.448581529353912,0.661425211887283
"A32",NA,1.07837341058418,-1.15840026777073,0.302309397236987,1.02641237134816
"A33",0.0198642522120731,0.881617771742594,-0.324359536758235,-1.47385220703996,-0.347656934857483
"A34",0.130381728155594,0.734051042611408,-0.319074107537624,-0.366363206726099,-0.390596600676409
"A35",1.2355564875908,-0.143663565033486,0.488539477371814,0.385893472732372,-0.240307770310167
"A36",1.45659143947785,-0.798490925553138,0.374374206206605,1.0754620955693,-1.2708597499644
"A37",1.34607396353432,-1.53939887806598,1.67458979447703,0.469477548227758,-0.0900189399439253
"A38",1.34607396353432,-1.18585358952251,0.364860433609504,0.824709869083147,-2.30141172961863
"A39",1.2355564875908,-0.809250999552286,-0.292646961434567,2.39191128462163,-2.12965306634292
"A40",1.01452153570376,-0.242041384454276,-0.302160734031668,0.950085982326226,-1.18498041832654
"A41",0.79348658381672,-0.0083940633298871,-0.913156351934358,2.37101526574778,-0.154428438672315
"A42",-0.31168817561849,0.758645497466601,-1.04106373907316,0.239621340615447,0.876123540981915
"A43",NA,0.794000026320951,-1.68060067476715,0.63664569921853,2.46489117628218
"A44",-0.0906532237314479,1.4211586251285,-1.46918350594269,0.135141246246215,2.44342134337272
"A45",-3.40617750203708,1.23208875342917,-2.72394440291586,-0.199195055735327,2.50783084210111
"A46",-2.85359012231947,1.07683625715574,-2.10554918410431,-0.491739319969177,3.00163699901876
"A47",0.461934155986157,-0.291230294164672,0.962113935538605,0.218725321741601,-0.0900189399439253
"A48",0.79348658381672,-0.58943805928395,0.442027700230433,0.991878020073919,-1.52849774487795
"A49",1.2355564875908,-1.19353935666476,1.0234249144977,1.93219886939701,-1.14204075250762
"A50",1.01452153570376,-1.30728871037005,0.43674227100982,2.30832720912624,-1.61437707651581
"A51",0.682969107873199,-1.05365839467581,0.812007745673238,-0.0111308858707096,-0.455006099404798
"A52",0.461934155986157,-0.0990861156084356,0.351118317635915,1.57696654854162,-0.111488772853388
"A53",0.572451631929678,0.335928304642881,-0.328587880134725,0.845605887956994,0.446726882792652
"A54",-0.42220565156201,0.789388566035606,-0.493493271817804,0.991878020073919,0.768774376434599
"A55",-0.201170699674969,0.817057327747696,-0.0738301917012512,-0.0529229236184025,0.575545880249431
"A56",-0.31168817561849,1.33507803313531,0.00227998907555433,0.176933283993908,0.532606214430505
"A57",0.0198642522120731,0.961549750021994,0.408200953218518,-1.11861988618457,-0.025609441215536
"A58",0.130381728155594,0.440454737777475,-0.115056539622021,0.57395764259699,0.103209556241243
"A59",1.45659143947785,-0.27585875988017,1.33737941020202,0.364997453858526,1.04788220425762
"A60",1.67762639136489,-0.929148966971373,0.413486382439129,2.12026303926163,-1.39967874742117
